iso3,hazard,income_cat,rp,fa,recovery_rate,recovery_time,macro_multiplier_Gamma,v_ew
AGO,Earthquake,q1,10.0,0.0001779007713898703,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q1,25.0,0.0004382448939886333,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q1,50.0,0.0008827493619689876,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q1,100.0,0.0017647390326807442,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q1,250.0,0.004406163026662627,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q1,500.0,0.008216432011645574,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q1,1000.0,0.012279810212573142,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q1,2500.0,0.020789676472999025,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q1,5000.0,0.030853768074053912,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q2,10.0,0.0001779007713898703,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q2,25.0,0.0004382448939886333,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q2,50.0,0.0008827493619689876,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q2,100.0,0.0017647390326807442,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q2,250.0,0.004406163026662627,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q2,500.0,0.008216432011645574,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q2,1000.0,0.012279810212573142,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q2,2500.0,0.020789676472999025,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q2,5000.0,0.030853768074053912,0.1497866136776995,20.0,1.5332208995388774,0.7000000000000001
AGO,Earthquake,q3,10.0,0.0001779007713898703,0.1497866136776995,20.0,1.5332208995388774,0.5193570183533321
AGO,Earthquake,q3,25.0,0.0004382448939886333,0.1497866136776995,20.0,1.5332208995388774,0.5193570183533321
AGO,Earthquake,q3,50.0,0.0008827493619689876,0.1497866136776995,20.0,1.5332208995388774,0.5193570183533321
AGO,Earthquake,q3,100.0,0.0017647390326807442,0.1497866136776995,20.0,1.5332208995388774,0.5193570183533321
AGO,Earthquake,q3,250.0,0.004406163026662627,0.1497866136776995,20.0,1.5332208995388774,0.5193570183533321
AGO,Earthquake,q3,500.0,0.008216432011645574,0.1497866136776995,20.0,1.5332208995388774,0.5193570183533321
AGO,Earthquake,q3,1000.0,0.012279810212573142,0.1497866136776995,20.0,1.5332208995388774,0.5193570183533321
AGO,Earthquake,q3,2500.0,0.020789676472999025,0.1497866136776995,20.0,1.5332208995388774,0.5193570183533321
AGO,Earthquake,q3,5000.0,0.030853768074053912,0.1497866136776995,20.0,1.5332208995388774,0.5193570183533321
AGO,Earthquake,q4,10.0,0.0001779007713898703,0.1800000000000001,16.642957075299936,1.4660941952351574,0.2920970310302768
AGO,Earthquake,q4,25.0,0.0004382448939886333,0.1800000000000001,16.642957075299936,1.4660941952351574,0.2920970310302768
