country,gdp_pc_pp,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax,macro_multiplier_Gamma,dK,dKtot,delta_W,delta_W_tot,average_aid_cost_pc,axfin,c,dc,dc_npv_post,dc_npv_pre,dk,dw,fa,gamma_SP,help_fee,help_needed,help_received,k,n,shew,social,v,v_shew,dWpc_currency,dWtot_currency,risk,resilience,risk_to_assets
Albania,15501.662931463497,2775634.0,0.084,0.63799,6802.80451885113,2,0.2,1.5,0.06,0.8,0.05,0.0,0.175,0.1852799860314327,1.0,0.18628171635596602,1.0804176835697958,148.5653247847024,412362966.6934627,1.6099576471759472e-06,4.468653184061563,0.0,0.11076000000000001,77508.3146573175,148.5653247847024,160.51260406268256,160.51260406268256,148.5653247847024,1.6099576471759472e-06,0.004684841967579017,1.0,0.0,84.42823037716245,0.0,418330.7453626871,3.3905695888242064,0.0,0.1942581839052523,2.105999999999999,2.105999999999999,211.4187100132345,586820959.7488741,0.01363845356127058,0.7027066089628606,0.0095838314535379
Algeria,11187.382302721002,44903225.0,0.094,0.74772,4273.92218311515,2,0.2,1.5,0.06,0.8,0.05,0.8,0.5,0.2889104503291931,1.0,0.14897796598878915,1.1469384595538974,46.15480223908877,2072499469.7723067,9.521907738344194e-07,42.75643656041105,23.904193632910925,0.18245999999999998,55936.91151360501,46.15480223908877,52.93671778111524,52.93671778111524,46.15480223908877,9.521907738344194e-07,0.00885501592764815,1.0,23.904193632910925,60.67863769277634,23.904193632910925,193613.32014770954,3.387029213793623,2.4000000000000004,0.15929025045967896,0.9394682000000001,0.8492792527999999,76.66552273578824,3442529217.147715,0.0068528562501293635,0.6020281424043984,0.004125612318429752
Angola,5906.11567677033,35588987.0,0.038,0.68081,2998.50115810921,2,0.2,1.5,0.06,0.8,0.05,0.0,0.1416666666666666,0.4323973905251145,1.0,0.16518511127103716,1.239043253931658,8.231148216864566,292938226.8850662,9.468368586878188e-07,33.69696465496162,0.0,0.18575999999999998,29530.578383851644,8.231148216864566,10.198748670217638,10.198748670217638,8.231148216864566,9.468368586878188e-07,0.0015207822274709481,1.0000000000000002,0.0,2.253225126744582,0.0,68294.99675747106,3.3975619791919236,0.0,0.15935173643856948,3.0999999999999996,3.0999999999999996,29.241722091322554,1040683267.3656912,0.004951092002199481,0.2814864388341598,0.001393665256039422
Antigua and Barbuda,21457.937890413898,93763.0,0.0103,0.24346,18745.1735087796,2,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.4166666666666667,0.4005106416086055,1.0,0.13901490701349908,1.2185750325846827,2114.9902583369085,198307831.5924436,2.1040462467414185e-05,1.9728168823321561,28.447592291193196,0.15299999999999997,107289.6894520695,2114.9902583369085,2577.274322969185,2577.274322969185,2114.9902583369085,2.1040462467414185e-05,0.1650964983948574,1.0,28.447592291193196,102.41133224829548,28.4475922911932,267882.244080089,3.20867122902113,1.6,0.16390495997237423,1.1779571109442393,1.1024406459462304,4500.4900939420295,421979452.6782865,0.20973544228369562,0.46994665340644376,0.09856446920194309
Argentina,18087.196261682235,46234830.0,0.051,0.92347,13686.0086737317,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.4083333333333333,0.2695495148851759,1.0,0.1846944780030515,1.1345106039205037,78.49235658146821,3629080762.8435636,7.016572746933832e-07,32.44100481371187,7.42525436712209,0.13079999999999997,90435.98130841117,78.4923565814682,89.05041086838501,89.05041086838501,78.49235658146821,7.016572746933832e-07,0.0030324152141462057,1.0,7.42525436712209,24.79676783083444,7.425254367122088,335507.86150342564,3.3953720234242892,3.2000000000000006,0.19535988066707588,2.2908930499999993,1.9976587395999994,116.13316577915907,5369397177.161237,0.0064207389635721175,0.6758823463981918,0.004339664116309417
Armenia,16041.829702379504,2780469.0,0.094,0.63573,7014.20659172274,2,0.2,1.5,0.06,0.8,0.05,0.4,0.425,0.3666957212217474,1.0,0.34258828603350755,1.1968691108828242,112.96009911126205,314082053.81579167,1.0377428730955671e-06,2.8854118886131586,3.3923372772707294,0.06318000000000001,80209.14851189751,112.96009911126205,135.1984533885319,135.1984533885319,112.96009911126205,1.0377428730955671e-06,0.011016746984863627,1.0,3.392337277270729,19.954925160416053,3.392337277270729,218734.89072809118,3.3812983202529328,1.6000000000000003,0.3907193508827823,1.25,1.17,143.47132514442316,398917571.9529891,0.008943576126053869,0.7873357202043861,0.007041596950409377
Australia,50997.54643272919,25978935.0,0.073,0.86488,64491.4298860631,2,0.2,1.5,0.06,0.8,0.05,0.8,0.9166666666666669,0.2736023908600951,1.0,0.23463841000000005,1.1371121599074026,101.84817153483056,2645907028.172213,1.5774605622831273e-07,4.098074541261682,14.291083522067073,0.7312400000000001,254987.73216364594,101.84817153483056,115.81279431659081,115.81279431659081,101.84817153483056,1.5774605622831273e-07,0.0012700219247559013,0.9999999999999998,14.291083522067073,19.487841166455095,14.291083522067073,931964.5612820407,3.3981335085652433,4.0,0.289524,2.8543999999999996,2.397696,123.659718024194,3212547776.6688647,0.0024248170093303096,0.8236163979842165,0.00199711905099549
Austria,56280.50833060169,9042528.0,0.079,0.59256,52131.4466586387,2,0.2,1.5,0.06,0.8,0.05,0.8,0.8916666666666666,0.23227851820729,1.0,0.4830197903699999,1.1105862141427054,123.87908064766026,1120180055.370726,1.5810068876665931e-07,1.4296299049918022,49.61075489618849,0.66404,281402.54165300843,123.87908064766026,137.5783991879639,137.5783991879639,123.87908064766026,1.5810068876665931e-07,0.0021940994067726942,1.0,49.610754896188496,70.94953950522103,49.61075489618848,1211487.5875085408,3.3968367433595112,4.0,0.49636875599999986,1.5279999999999998,1.2835199999999998,143.55286351140035,1298080787.782016,0.00255066750051626,0.8629509549130124,0.002201100955236093
Azerbaijan,15044.9440415466,10175016.0,0.108,0.5717,7736.70123206975,2,0.2,1.5,0.06,0.8,0.05,0.0,0.2416666666666666,0.5982212831852317,1.0,0.022656923264207995,1.3454862202080695,39.52444795427985,402161890.3259647,4.6591611735283494e-07,4.740703948722974,0.0,0.055399999999999984,75224.72020773299,39.52444795427985,53.17960008381456,53.17960008381456,39.52444795427985,4.6591611735283494e-07,0.006441405678942863,1.0,0.0,20.738004765364945,0.0,125747.31511924592,3.3871632418348696,0.0,0.02335535256330981,1.2499999999999998,1.2499999999999998,58.49734185938488,595211389.3767109,0.0038881727773692294,0.6756622899086284,0.002627091722317685
Bangladesh,6263.00464871693,171186372.0,0.086,0.3971099999999999,2688.30395035828,2,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6166666666666667,0.2897089076246591,1.0,0.048609803310177585,1.1474509922270306,136.58033012702964,23380691201.008507,5.514604926364184e-06,944.0252103576119,31.591293095497626,0.06649999999999999,31315.02324358464,136.58033012702964,156.71923532295554,156.71923532295554,136.58033012702964,5.514604926364184e-06,0.01733380638164783,1.0000000000000002,31.591293095497623,75.17783297759898,31.591293095497626,108091.33726794396,3.3746015744721998,3.2,0.05012219584136117,2.322450365635921,2.025176718834523,185.97852846689563,31836989558.146584,0.029694777331036485,0.7343876266412178,0.02180747704777932
